List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2015-01-31,2015-02-15,1,0,2,0,0,0316259462,9780316259460,Yen Press,"Tatsumi hopes to earn money for his village by working in the Capital, but that won’t be easy in a place where corruption is rampant and a league of assassins are the only good guys.",0,"AKAME GA KILL!, VOL. 1",Takahiro and Tetsuya Tashiro,by Takahiro and Tetsuya Tashiro,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316259460.jpeg,http://www.amazon.com/Akame-ga-KILL-Vol-1/dp/0316259462?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,2,0,1,0,0,0316377937,9780316377935,Yen Press,The final confrontation on the moon heats up with the sudden appearance of Crona.,0,"SOUL EATER, VOL. 24",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316377935.jpeg,http://www.amazon.com/Soul-Eater-Vol-Atsushi-Ohkubo/dp/0316377937?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,3,0,2,0,0,0316259403,9780316259408,Yen Press,Are werewolves and witches to blame for a series of gruesome deaths in Germany? Earl Ciel Phantomhive and his demon butler Sebastian investigate.,0,"BLACK BUTLER, VOL. 19",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316259408.jpeg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316259403?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,4,0,1,0,0,1612627978,9781612627977,Kodansha Comics,The battle against the Nine Demon Gates continues.,0,"FAIRY TAIL, VOL. 46",Hiro Mashima,by Hiro Mashima,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612627977.jpeg,http://www.amazon.com/Fairy-Tail-46-Hiro-Mashima/dp/1612627978?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,5,0,2,0,0,0316259373,9780316259378,Yen Press,"Yuuki Asuna is yet another prisoner in the virtual reality game Sword Art Online. Can she apply her study habits as a top school student to her new, fantastical surroundings?",0,"SWORD ART ONLINE: PROGRESSIVE, VOL. 1",Reki Kawahara and Kiseki Himura,by Reki Kawahara and Kiseki Himura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316259378.jpeg,http://www.amazon.com/Sword-Online-Progressive-manga-Manga/dp/0316259373?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,6,0,1,0,0,1612629083,9781612629087,Kodansha Comics,"Yato is a god without a shrine. Or any worshipers for that matter. So, in order to build a lavish temple in his own honor, he takes on odd jobs and helps those in need for a nominal fee.",0,"NORAGAMI, VOL. 3",Adachitoka,by Adachitoka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629087.jpeg,http://www.amazon.com/Noragami-Stray-God-3-Adachitoka/dp/1612629083?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,7,0,8,0,0,1616554126,9781616554125,Dark Horse,"Follow the virtual (and musical) adventures of Hatsune Miku and her friends in this collected edition of stories, in black and white and color.",0,UNOFFICIAL HATSUNE MIX,KEI,by KEI,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781616554125.jpeg,http://www.amazon.com/Unofficial-Hatsune-Mix-Miku/dp/1616554126?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,8,0,7,0,0,1421576074,9781421576077,VIZ Media,"The students of class of 3–E have only one assignment: kill the teacher! Of course, when that teacher is also a supremely powerful being, it is easier said than done.",0,"ASSASSINATION CLASSROOM, VOL. 1",Yusei Matsui,by Yusei Matsui,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421576077.jpeg,http://www.amazon.com/Assassination-Classroom-Vol-Yusei-Matsui/dp/1421576074?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,9,0,3,0,0,1421564106,9781421564104,VIZ Media,A middle-school student is framed for the murder of his classmates and then sentenced to a prison that doubles as a demented theme park in this new series.,0,"DEADMAN WONDERLAND, VOL. 2",Jinsei Katoka and Kazuma Kondou,by Jinsei Katoka and Kazuma Kondou,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421564104.jpg,http://www.amazon.com/Deadman-Wonderland-Vol-Jinsei-Kataoka/dp/1421564106?tag=thenewyorktim-20,,,,,
Manga,2015-01-31,2015-02-15,10,0,2,0,0,1612629318,9781612629315,Kodansha Comics,"Princess Elizabeth continues her quest to reclaim her kingdom by finding the Seven Deadly Sins, a group of warriors who were wrongly sent into exile and branded as traitors.",0,"THE SEVEN DEADLY SINS, VOL. 6",Nakaba Suzuki,by Nakaba Suzuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629315.jpeg,http://www.amazon.com/The-Seven-Deadly-Sins-6/dp/1612629318?tag=thenewyorktim-20,,,,,
