Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,1,3,0,0,1421535440,9781421535449,VIZ Media,Life in a high school filled with werewolves and vampires continues.,9.99,"ROSARIO + VAMPIRE: SEASON II, VOL. 4",Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421535449.jpg,http://www.amazon.com/Rosario-Vampire-Season-II-Vol/dp/1421535440?tag=thenewyorktim-20,,,,,,14215354409781421535449
2,3,3,0,0,1421540320,9781421540320,VIZ Media,Rin Okumura joins an exorcist academy in order to control his inner demon. Will his classmates find out about his satanic bloodline?,9.99,"BLUE EXORCIST, VOL. 1",Kazue Kato,by Kazue Kato,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421540320.jpg,http://www.amazon.com/Blue-Exorcist-Vol-Kazue-Kato/dp/1421540320?tag=thenewyorktim-20,,,,,,14215403209781421540320
3,5,12,0,0,1421534975,9781421534978,VIZ Media,"Naruto, ninja in training, learns more about his destiny and the fate of his universe.",9.99,"NARUTO, VOL. 50",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534978.jpg,http://www.amazon.com/Naruto-Vol-50-Water-Prison/dp/1421534975?tag=thenewyorktim-20,,,,,,14215349759781421534978
4,8,13,0,0,031608428X,9780316084284,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human? In this volume: butler vs. butler!,11.99,"BLACK BUTLER, VOL. 4",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316084284.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/031608428X?tag=thenewyorktim-20,,,,,,031608428X9780316084284
5,7,3,0,0,1421537303,9781421537306,VIZ Media,"After the death of her brother, Teru Kurebayashi has been receiving comforting messages from Daisy, who communicates through her brother’s cell phone. In this installment, she learns Daisy’s identity.",9.99,"DENGEKI DAISY, VOL. 4",Kyousuke Motomi,by Kyousuke Motomi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421537306.jpg,http://www.amazon.com/Dengeki-Daisy-Vol-Kyousuke-Motomi/dp/1421537303?tag=thenewyorktim-20,,,,,,14215373039781421537306
6,6,3,0,0,1421536927,9781421536927,VIZ Media,"Fame, romance and broken hearts. In this installment, resentment causes problems on set.",9.99,"SKIP BEAT, VOL. 23",Yoshiki Nakamura,by Yoshiki Nakamura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421536927.jpg,http://www.amazon.com/Skip-Beat-Vol-Yoshiki-Nakamura/dp/1421536927?tag=thenewyorktim-20,,,,,,14215369279781421536927
7,2,2,0,0,1935429086,9781935429081,Kodansha Comics,"The classic series, about a post-apocalyptic future, reaches its inclusion in this volume.",29.99,"AKIRA, VOL. 6",Katsuhiro Otomo,by Katsuhiro Otomo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781935429081.jpg,http://www.amazon.com/Akira-Vol-6-Katsuhiro-Otomo/dp/1935429086?tag=thenewyorktim-20,,,,,,19354290869781935429081
8,0,2,0,0,0316119407,9780316119405,Yen Press,The after-school pop music club are riding high after their impressive festival performance. Now comes the hard part: recruiting new members!,11.99,"K-ON!, VOL. 2",Kakifly,by  Kakifly,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316119405.jpg,http://www.amazon.com/K-ON-Vol-2-kakifly/dp/0316119407?tag=thenewyorktim-20,,,,,,03161194079780316119405
9,0,14,0,0,1427818878,9781427818874,TOKYOPOP,"From the publisher: “Get ready to brush up on world history with these handsome and hysterical personifications of the Axis Powers as they meet, become friends and form one of the most powerful alliances the world has ever seen.” In this volume . . . Christmas!",10.99,"HETALIA AXIS POWERS, VOL. 2",Hidekaz Himaruya,by Hidekaz Himaruya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427818874.jpg,http://www.amazon.com/Hetalia-Axis-Powers-Vol-2/dp/1427818878?tag=thenewyorktim-20,,,,,,14278188789781427818874
10,10,3,0,0,1421538822,9781421538822,VIZ Media,"The destiny of Sakura, the princess of a moon kingdom and who is fated to wield a legendary sword, begins here.",9.99,"SAKURA HIME: THE LEGEND OF PRINCESS SAKURA, VOL. 1",Arina Tanemura,by Arina Tanemura,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421538822.jpg,http://www.amazon.com/Sakura-Hime-Legend-Princess-SAKURA/dp/1421538822?tag=thenewyorktim-20,,,,,,14215388229781421538822
