List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2010-02-07,2010-02-21,1,0,1,0,0,1421533057,9781421533056,VIZ Media,"Naurto learns more secrets from his past and moves closer to discovering the identity of his nemesis, Pain.",9.99,"NARUTO, VOL. 47",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421533056.jpg,http://www.amazon.com/Naruto-Vol-47-Seal-Destroyed/dp/1421533057?tag=thenewyorktim-20,,,,,,14215330579781421533056
Manga,2010-02-07,2010-02-21,2,0,1,0,0,1421531720,9781421531724,VIZ Media,"Cross Academy has day and evening students, but the latter have a secret: they are vampires.",9.99,"VAMPIRE KNIGHT, VOL. 9",Matsuri Hino,by Matsuri Hino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531724.jpg,http://www.amazon.com/Vampire-Knight-Vol-Matsuri-Hino/dp/1421531720?tag=thenewyorktim-20,,,,,,14215317209781421531724
Manga,2010-02-07,2010-02-21,3,0,1,0,0,1421527669,9781421527666,VIZ Media,Misao Harada can see into a magical realm where she is the bride demon of prophecy. How will she survive the pursuit of demons who want the power in her blood?,9.99,"BLACK BIRD, VOL. 3",Kanoko Sakurakoji,by Kanoko Sakurakoji,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421527666.jpg,http://www.amazon.com/Black-Bird-Vol-Kanoko-Sakurakoji/dp/1421527669?tag=thenewyorktim-20,,,,,,14215276699781421527666
Manga,2010-02-07,2010-02-21,4,1,2,0,0,0316080845,9780316080842,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,10.99,"BLACK BUTLER, VOL. 1",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316080842.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316080845?tag=thenewyorktim-20,,,,,,03160808459780316080842
Manga,2010-02-07,2010-02-21,5,0,1,0,0,1421530082,9781421530086,VIZ Media,"When the follower of an old enemy returns to take revenge, Yugi Mutou must duel to save a friend’s life.",9.99,"YU-GI-OH! R, VOL. 3",Kazuki Takahashi and Akira Ito,by Kazuki Takahashi and Akira Ito,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421530086.jpg,http://www.amazon.com/Yu-Gi-Oh-R-Vol-Akira-Ito/dp/1421530082?tag=thenewyorktim-20,,,,,,14215300829781421530086
Manga,2010-02-07,2010-02-21,6,0,1,0,0,1421530384,9781421530383,VIZ Media,"The protagonist: 15-year-old Allen Walker. The setting: 19th century England. His mission: to find Innocence, a substance used to create weapons to destroy the akuma demons.",9.99,"D. GRAY-MAN, VOL. 16",Katsura Hoshino,by Katsura Hoshino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421530383.jpg,http://www.amazon.com/D-Gray-Man-Vol-Katsura-Hoshino/dp/1421530384?tag=thenewyorktim-20,,,,,,14215303849781421530383
Manga,2010-02-07,2010-02-21,7,4,4,0,0,1421531739,9781421531731,VIZ Media,The next generation of Yu-Gi-Oh battle it out at the Duel Academy. But what evil plans are afoot?,9.99,"THE YU-GI-OH! GX 4, VOL. 4",Naoyuki Kageyama and Kazuki Takahashi,by Naoyuki Kageyama and Kazuki Takahashi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531731.jpg,http://www.amazon.com/Yu-Gi-Oh-GX-Vol-Semifinals-Begin/dp/1421531739?tag=thenewyorktim-20,,,,,,14215317399781421531731
Manga,2010-02-07,2010-02-21,8,3,4,0,0,1421534134,9781421534138,VIZ Media,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right. But others seek the weapon of alchemy for their own nefarious means.,9.99,"FULLMETAL ALCHEMIST, VOL. 22",Hiromu Arakawa,by Hiromu Arakawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534138.jpg,http://www.amazon.com/Fullmetal-Alchemist-Vol-Hiromu-Arakawa/dp/1421534134?tag=thenewyorktim-20,,,,,,14215341349781421534138
Manga,2010-02-07,2010-02-21,9,0,1,0,0,1427817693,9781427817693,TOKYOPOP,"Alice wanders into a very different part of Wonderland in this interpretation of the classic tale. 
In this new area of the fantasy land, every man is in love with Alice... and firearms.",10.99,ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY,Quinrose and Soumei Hoshino,by Quinrose and Soumei Hoshino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427817693.jpg,http://www.amazon.com/Alice-Country-Hearts-Clockmakers-Story/dp/1937867641?tag=thenewyorktim-20,,,,,,142781769397814278176931937867641978193786764503162127259780316212724
Manga,2010-02-07,2010-02-21,10,0,1,0,0,1421527375,9781421527376,VIZ Media,"Asuka, who likes sewing, knitting and stuffed animals, falls for Ryo, a girl who can’t bake and likes only manly men. Now Ryo must take part in a flower-and-tea ceremony, which she knows she’s bad at.",9.99,"OTOMEN, VOL. 5",Aya Kanno,by Aya Kanno,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421527376.jpg,http://www.amazon.com/Otomen-Vol-5-Aya-Kanno/dp/1421527375?tag=thenewyorktim-20,,,,,,14215273759781421527376
