List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2011-01-09,2011-01-23,1,1,2,0,0,1427818878,9781427818874,TOKYOPOP,"From the publisher: ""Get ready to brush up on world history with these handsome and hysterical personifications of the Axis Powers as they meet, become friends and form one of the most powerful alliances the world has ever seen."" In this volume . . . Christmas!",10.99,"HETALIA AXIS POWERS, VOL. 2",Hidekaz Himaruya,by Hidekaz Himaruya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427818874.jpg,http://www.amazon.com/Hetalia-Axis-Powers-Vol-2/dp/1427818878?tag=thenewyorktim-20,,,,,,14278188789781427818874
Manga,2011-01-09,2011-01-23,2,2,5,0,0,1421537907,9781421537900,VIZ Media,"Cross Academy has day and evening students, but the latter have a secret: they are vampires.",9.99,"VAMPIRE KNIGHT, VOL. 11",Matsuri Hino,by Matsuri Hino,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421537900.jpg,http://www.amazon.com/Vampire-Knight-Vol-Matsuri-Hino/dp/1421537907?tag=thenewyorktim-20,,,,,,14215379079781421537900
Manga,2011-01-09,2011-01-23,3,5,15,0,0,1421534754,9781421534756,VIZ Media,"Poor Naruto: he must cope with a ninja summit and a target on the back of his good friend, Sasuke.",9.99,"NARUTO, VOL. 49",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421534756.jpg,http://www.amazon.com/Naruto-Vol-49-Gokage-Commences/dp/1421534754?tag=thenewyorktim-20,,,,,,14215347549781421534756
Manga,2011-01-09,2011-01-23,4,9,3,0,0,0316126799,9780316126793,Yen Press,"This series is about an incredibly positive young girl named Yotsuba. In this volume, she goes to the store with Dad and thinks about learning to fly.",10.99,"YOTSUBA AND &!, VOL. 9",Kiyohiko Azuma,by Kiyohiko Azuma,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316126793.jpg,http://www.amazon.com/Yotsuba-Vol-9-Kiyohiko-Azuma/dp/0316126799?tag=thenewyorktim-20,,,,,,03161267999780316126793
Manga,2011-01-09,2011-01-23,5,10,5,0,0,1421532689,9781421532684,VIZ Media,Tsukune Aono’s new school is filled with vampires and werewolves. How is a human teenager to survive?,9.99,"ROSARIO + VAMPIRE: SEASON II, VOL. 3",Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421532684.jpg,http://www.amazon.com/Rosario-Vampire-Season-II-Vol/dp/1421532689?tag=thenewyorktim-20,,,,,,14215326899781421532684
Manga,2011-01-09,2011-01-23,6,0,1,0,0,1421537966,9781421537962,VIZ Media,"From the publisher: ""A Claymore - a female warrior named for the sword she carries - travels from medieval village to village to destroy Yoma, monsters who disguise themselves as humans and who are almost impossible to kill.""",9.99,"CLAYMORE, VOL. 17",Norihiro Yagi,by Norihiro Yagi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421542119.jpg,http://www.amazon.com/Claymore-Vol-20-Norihiro-Yagi/dp/1421542110?tag=thenewyorktim-20,,,,,,1421537966978142153796214215421109781421542119
Manga,2011-01-09,2011-01-23,7,3,11,0,0,0316084263,9780316084260,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,10.99,"BLACK BUTLER, VOL. 3",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316084260.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316084263?tag=thenewyorktim-20,,,,,,03160842639780316084260
Manga,2011-01-09,2011-01-23,8,7,5,0,0,1421528118,9781421528113,VIZ Media,Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife.,9.99,"THE BLEACH, VOL. 33",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421528113.jpg,http://www.amazon.com/Bleach-Vol-33-The-Joke/dp/1421528118?tag=thenewyorktim-20,,,,,,14215281189781421528113
Manga,2011-01-09,2011-01-23,9,0,1,0,0,142153729X,9781421537290,VIZ Media,Is love in danger? Teru moves out of Kurosaki’s apartment. Is he relieved not to have her around any longer?,9.99,"DENGEKI DAISY, VOL. 3",Kyousuke Motomi,by Kyousuke Motomi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421537290.jpg,http://www.amazon.com/Dengeki-Daisy-Vol-Kyousuke-Motomi/dp/142153729X?tag=thenewyorktim-20,,,,,,142153729X9781421537290
Manga,2011-01-09,2011-01-23,10,6,15,0,0,1427818762,9781427818768,TOKYOPOP,"From the publisher: ""Get ready to brush up on world history with these handsome and hysterical personifications of the Axis Powers as they meet, become friends and form one of the most powerful alliances the world has ever seen.""",10.99,"HETALIA AXIS POWERS, VOL. 1",Hidekaz Himaruya,by Hidekaz Himaruya,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427818768.jpg,,,,,,,14278187629781427818768
