Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,1,0,0,034552070X,9780345520708,Del Rey,Syaoran and Fei-Wang fight it out with Sakura’s life in the balance.,10.99,"TSUBASA, VOL. 26",Clamp,by  Clamp,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345520708.jpg,http://www.amazon.com/Tsubasa-RESERVoir-CHRoNiCLE-Vol-26/dp/034552070X?tag=thenewyorktim-20,,,,,,034552070X9780345520708
2,3,13,0,0,1421533057,9781421533056,VIZ Media,"Naruto learns more secrets from his past and moves closer to discovering the identity of his nemesis, Pain.",9.99,"NARUTO, VOL. 47",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421533056.jpg,http://www.amazon.com/Naruto-Vol-47-Seal-Destroyed/dp/1421533057?tag=thenewyorktim-20,,,,,,14215330579781421533056
3,2,2,0,0,031607327X,9780316073271,Yen Press,Yotsuba goes to a festival and learns about the magic of cake!,10.99,"YOTSUBA&!, VOL. 8",Kiyohiko Azuma,by Kiyohiko Azuma,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316073271.jpg,http://www.amazon.com/Yotsuba-Vol-8-Kiyohiko-Azuma/dp/031607327X?tag=thenewyorktim-20,,,,,,031607327X9780316073271
4,1,4,0,0,1421531364,9781421531366,VIZ Media,"Tsukune Aono’s new school is filled with vampires and werewolves. And the girl he is interested seems to have eyes for him, but is it his blood she’s after?",9.99,"ROSARIO   VAMPIRE: SEASON II, VOL. 1",Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531366.jpg,http://www.amazon.com/Rosario-Vampire-Season-II-Vol/dp/1421531364?tag=thenewyorktim-20,,,,,,14215313649781421531366
5,5,14,0,0,0316080845,9780316080842,Yen Press,Sebastian is a loyal butler who moves easily from dinner parties to the underworld. Is he too good to be true? Is he even human?,10.99,"BLACK BUTLER, VOL. 1",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316080842.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316080845?tag=thenewyorktim-20,,,,,,03160808459780316080842
6,0,1,0,0,1427817987,9781427817983,TOKYOPOP,"This primer, filled with character profiles, quizzes and stickers, will catch reader’s up on the 23-volume saga of ""Fruits Basket."" It also includes behind-the-scenes and previously unpublished material.",14.99,FRUITS BASKET: BANQUET,Takaya Natsuki,by Takaya Natsuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781427817983.jpg,http://www.amazon.com/Fruits-Basket-Banquet-Natsuki-Takaya/dp/1427817987?tag=thenewyorktim-20,,,,,,14278179879781427817983
7,7,4,0,0,1421530090,9781421530093,VIZ Media,Resurrection day looms when the evil Yako Tenma takens over the gaming company Kaibacorp and its technology to bring the dead back to life.,9.99,"YU-GI-OH! R, VOL. 4",Kazuki Takahashi and Akira Ito,by Kazuki Takahashi and Akira Ito,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421530093.jpg,http://www.amazon.com/Yu-Gi-Oh-R-Vol-Akira-Ito/dp/1421530090?tag=thenewyorktim-20,,,,,,14215300909781421530093
8,4,2,0,0,0316073393,9780316073394,Yen Press,"A young merchant finds himself with a companion: Holo, the Wolf-God of the harvest, and encounter some business opportunities.",12.99,"SPICE AND WOLF, VOL. 1",Isuna Hasekura and Keito Koume,by Isuna Hasekura and Keito Koume,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316073394.jpg,http://www.amazon.com/Spice-Wolf-Vol-1-manga/dp/0316073393?tag=thenewyorktim-20,,,,,,03160733939780316073394
9,8,2,0,0,0759528616,9780759528611,Yen Press,"Meet the macabre roster of students that inhabit a school after hours: vampires, demons and witches!",12.99,"NIGHTSCHOOL, VOL. 3",Svetlana Chmakova,by Svetlana Chmakova,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759528611.jpg,http://www.amazon.com/Nightschool-Vol-The-Weirn-Books/dp/0759528616?tag=thenewyorktim-20,,,,,,07595286169780759528611
10,10,9,0,0,0759530483,9780759530485,Yen Press,"Maka, an arms expert, wants to turn the Soul Eater, her living scythe, into the ultimate weapon for Death.",10.99,"SOUL EATER, VOL. 2",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759530485.jpg,http://www.amazon.com/Soul-Eater-Vol-Atsushi-Ohkubo/dp/0759530483?tag=thenewyorktim-20,,,,,,07595304839780759530485
