List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2014-02-08,2014-02-23,1,0,1,0,0,1421562375,9781421562377,VIZ Media,"Ichigo Kurosaki sees dead people and helps usher them safely into the afterlife. In this volume, Ichigo heads to the palace of the Soul King for training.",0,"BLEACH, VOL. 59",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421562377.jpg,http://www.amazon.com/Bleach-Vol-59-Tite-Kubo/dp/1421562375?tag=thenewyorktim-20,,,,,,14215623759781421562377
Manga,2014-02-08,2014-02-23,2,0,2,0,0,0316368997,9780316368995,Yen Press,The students of the Death Weapon Meister Academy must face their fears and conquer their desires in order to save Kid.,0,"SOUL EATER, VOL. 18",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316368995.jpg,http://www.amazon.com/Soul-Eater-Vol-Atsushi-Ohkubo/dp/0316368997?tag=thenewyorktim-20,,,,,,03163689979780316368995
Manga,2014-02-08,2014-02-23,3,0,2,0,0,1612626777,9781612626772,Kodansha Comics,"The identity of the Titans who have been destroying the walls is revealed, but has their treachery been discovered too late to save humanity?",0,"ATTACK ON TITAN, VOL. 11",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612626772.jpg,http://www.amazon.com/Attack-Titan-11-Hajime-Isayama/dp/1612626777?tag=thenewyorktim-20,,,,,,16126267779781612626772
Manga,2014-02-08,2014-02-23,4,0,2,0,0,0316369012,9780316369015,Yen Press,"A serial slasher is running amok in Ikebukuro, a district of Tokyo, and some suspect that an infamous demon blade known as ""Saika"" is the weapon being used.",0,"DURARARA: SAIKA ARC, VOL. 3",Ryohgo Narita and Akiyo Satorigi,by Ryohgo Narita and Akiyo Satorigi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316369015.jpg,http://www.amazon.com/Durarara-Saika-Arc-Vol-3/dp/0316369012?tag=thenewyorktim-20,,,,,,03163690129780316369015
Manga,2014-02-08,2014-02-23,5,0,35,0,0,1612620248,9781612620244,Kodansha Comics,Is this the end of humanity? It sure looks that way when what is left of mankind must go into hiding to escape the giant humanoids known as the Titans.,0,"ATTACK ON TITAN, VOL. 1",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620244.jpg,http://www.amazon.com/Attack-Titan-1-Hajime-Isayama/dp/1612620248?tag=thenewyorktim-20,,,,,,16126202489781612620244
Manga,2014-02-08,2014-02-23,6,0,5,0,0,1421561395,9781421561394,VIZ Media,"In this latest volume, Naruto stands up to Tobi and the Allied Shinobi Forces battle the Ten-Tailed Beast.",0,"NARUTO, VOL. 64",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421561394.jpg,http://www.amazon.com/Naruto-Vol-64-Ten-Tails/dp/1421561395?tag=thenewyorktim-20,,,,,,14215613959781421561394
Manga,2014-02-08,2014-02-23,7,0,3,0,0,0316369020,9780316369022,Yen Press,"Ciel enters a college cricket tournament to earn an invitation to the exclusive ""Midnight Tea Party"" hosted by the school's headmaster.",0,"BLACK BUTLER, VOL. 16",Yana Toboso,by Yana Toboso,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316369022.jpg,http://www.amazon.com/Black-Butler-Vol-Yana-Toboso/dp/0316369020?tag=thenewyorktim-20,,,,,,03163690209780316369022
Manga,2014-02-08,2014-02-23,8,0,1,0,0,1626920044,9781626920040,Seven Seas Entertainment,"Ash Blake attends the Ansullivan Dragonar Academy, where each student rides their own dragon. But Ash's dragon, Eco, is different and can transform into a human girl.",0,"DRAGONAR ACADEMY, VOL. 1",Shiki Mizuchi and Ran,by Shiki Mizuchi and Ran,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781626920040.jpg,http://www.amazon.com/Dragonar-Academy-Vol-Shiki-Mizuchi/dp/1626920044?tag=thenewyorktim-20,,,,,,16269200449781626920040
Manga,2014-02-08,2014-02-23,9,0,1,0,0,1421555867,9781421555867,VIZ Media,Tomoe reveals that he is dying from a 500-year-old curse. Will Nanami be able to save him?,0,"KAMISAMA KISS, VOL. 14",Julietta Suzuki,by Julietta Suzuki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421555867.jpg,http://www.amazon.com/Kamisama-Kiss-Vol-Julietta-Suzuki/dp/1421555867?tag=thenewyorktim-20,,,,,,14215558679781421555867
Manga,2014-02-08,2014-02-23,10,0,6,0,0,1612626769,9781612626765,Kodansha Comics,"The 104th Training Corps stop for a much-needed respite in Utgard Castle, but their plans to rest are foiled when they discover that the Titans are now attacking at night.",0,"ATTACK ON TITAN, VOL. 10",Hajime Isayama,by Hajime Isayama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612626765.jpg,http://www.amazon.com/Attack-Titan-10-Hajime-Isayama/dp/1612626769?tag=thenewyorktim-20,,,,,,16126267699781612626765
