List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2015-01-03,2015-01-18,1,0,4,0,0,1616554126,9781616554125,Dark Horse,"Follow the virtual (and musical) adventures of Hatsune Miku and her friends in this collected edition of stories, in black and white and color.",0,UNOFFICIAL HATSUNE MIX,KEI,by KEI,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781616554125.jpeg,http://www.amazon.com/Unofficial-Hatsune-Mix-Miku/dp/1616554126?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,2,0,4,0,0,1421576074,9781421576077,VIZ Media,"The students of class of 3–E have only one assignment: kill the teacher! Of course, when that teacher is also a supremely powerful being, it is easier said than done.",0,"ASSASSINATION CLASSROOM, VOL. 1",Yusei Matsui,by Yusei Matsui,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421576077.jpeg,http://www.amazon.com/Assassination-Classroom-Vol-Yusei-Matsui/dp/1421576074?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,3,0,9,0,0,1612629431,9781612629438,Kodansha Comics,The origins of the Survey Corps leaders Levi and Erwin are told in this spinoff series.,0,"ATTACK ON TITAN: NO REGRETS, VOL. 2","Gun Snark, Hikaru Suruga and Hajime Isayama","by Gun Snark, Hikaru Suruga and Hajime Isayama",,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629438.jpeg,http://www.amazon.com/Attack-Titan-No-Regrets-2/dp/1612629431?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,4,0,5,0,0,1421576821,9781421576824,VIZ Media,"As this series barrels toward its conclusion, Naruto and the Shinobi Alliance continue their battle against Obito.",0,"NARUTO, VOL. 68",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421576824.jpeg,http://www.amazon.com/Naruto-Vol-68-Masashi-Kishimoto/dp/1421576821?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,5,0,1,0,0,1421564149,9781421564142,VIZ Media,A middle–school student is framed for the murder of his classmates and then sentenced to a prison that doubles as a demented theme park.,0,"DEADMAN WONDERLAND, VOL. 6",Jinsei Kataoka and Kazuma Kondou,by Jinsei Kataoka and Kazuma Kondou,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421564142.jpeg,http://www.amazon.com/Deadman-Wonderland-Vol-Kazuma-Kondou/dp/1421564149?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,6,0,3,0,0,0316336556,9780316336550,Yen Press,"Kirito has escaped from the virtual reality world of Sword Art Online, but now, he must go inside another game to try and save the woman he loves.",0,"SWORD ART ONLINE: FAIRY DANCE, VOL. 2",Reki Kawahara and Tsubasa Haduki,by Reki Kawahara and Tsubasa Haduki,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316336550.jpeg,http://www.amazon.com/Sword-Art-Online-Fairy-Dance/dp/0316336556?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,7,0,6,0,0,1612629067,9781612629063,Kodansha Comics,"Yato is a god without a shrine. Or any worshipers for that matter. So, in order to build a lavish temple in his own honor, he takes on odd jobs and helps those in need for a nominal fee.",0,"NORAGAMI, VOL. 1",Adachitoka,by Adachitoka,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612629063.jpeg,http://www.amazon.com/Noragami-1-Adachitoka/dp/1612629067?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,8,0,1,0,0,1626921407,9781626921405,Seven Seas Entertainment,"Yuzu is forced to transfer to a very strict all–girls school, where her upbeat personality conflicts with both her new teachers and fellow students.",0,"CITRUS, VOL. 1",Saburouta,by Saburouta,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781626921405.jpeg,http://www.amazon.com/Citrus-Vol-1-Saburouta/dp/1626921407?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,9,0,2,0,0,0316336661,9780316336666,Yen Press,A female student is saved from certain death by a vampire and must become his “thrall” in return.,0,"HE'S MY ONLY VAMPIRE, VOL. 1",Aya Shouoto,by Aya Shouoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316336666.jpeg,http://www.amazon.com/Hes-My-Only-Vampire-Vol/dp/0316336661?tag=thenewyorktim-20,,,,,
Manga,2015-01-03,2015-01-18,10,0,1,0,0,1421575892,9781421575896,VIZ Media,"Taichi Hiraga-Keaton is a man of many hats: insurance investigator, former member of the S.A.S., archaeologist, to name a few. And each discipline has a way of getting him into, and out of, trouble.",0,"MASTER KEATON, VOL. 1","Naoki Urasawa, Hokusei Katsushika and Takashi Nagasaki","by Naoki Urasawa, Hokusei Katsushika and Takashi Nagasaki",,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421575896.jpg,http://www.amazon.com/Master-Keaton-Vol-Naoki-Urasawa/dp/1421575892?tag=thenewyorktim-20,,,,,
