Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
1,0,3,0,0,1421554763,9781421554761,VIZ Media,Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife.,9.99,"BLEACH, VOL. 56",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421554761.jpg,http://www.amazon.com/Bleach-Vol-56-Tite-Kubo/dp/1421554763?tag=thenewyorktim-20,,,,,,14215547639781421554761
2,0,3,0,0,1421552418,9781421552415,VIZ Media,"rom the publisher: ""In New Domino City, the hottest game in town is the Turbo Duel""",9.99,"YU-GI-OH 5D'S, VOL. 4",Masahiro Hikokubo,by Masahiro Hikokubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421552415.jpg,http://www.amazon.com/Yu-Gi-Oh-5Ds-Vol-Masahiro-Hikokubo/dp/1421552418?tag=thenewyorktim-20,,,,,,14215524189781421552415
3,0,3,0,0,031623057X,9780316230575,Yen Press,"Maka, an arms expert, wants to turn the Soul Eater, her living scythe, into the ultimate weapon for Death.",11.99,"SOUL EATER, VOL. 13",Atsushi Ohkubo,by Atsushi Ohkubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316230575.jpg,http://www.amazon.com/Soul-Eater-Vol-Atsushi-Ohkubo/dp/031623057X?tag=thenewyorktim-20,,,,,,031623057X9780316230575
4,0,2,0,0,1421555611,9781421555614,VIZ Media,"Wild Tiger has seen better days as a hero — and better ratings for his part on the ""Hero TV"" reality show. Will things improve with his rookie partner Barnaby Brooks Jr.?",9.99,"TIGER AND BUNNY, VOL. 1",Masafumi Nishida and Mizuki Sakakibara,by Masafumi Nishida and Mizuki Sakakibara,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421555614.jpg,http://www.amazon.com/Tiger-Bunny-Vol-Mizuki-Sakakibara/dp/1421555611?tag=thenewyorktim-20,,,,,,14215556119781421555614
5,0,4,0,0,161262006X,9781612620060,Kodansha Comics,"Sailor Moon fights for justice in the name of the Moon and the mysterious Moon Princess. Along the way, she recruits other girls to be Sailor Scouts and join her fight against evil.",10.99,"SAILOR MOON, VOL. 10",Naoko Takeuchi,by Naoko Takeuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620060.jpg,http://www.amazon.com/Sailor-Moon-10-Naoko-Takeuchi/dp/161262006X?tag=thenewyorktim-20,,,,,,161262006X9781612620060
6,0,3,0,0,1937867218,9781937867218,Seven Seas Entertainment,"Welcome to Academy City, which teems with psychics. One of them is Mikoto Misaka, who investigates the dark side of things.",12.99,"A CERTAIN SCIENTIFIC RAILGUN, VOL. 7",Kazuma Kamachi,by Kazuma Kamachi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781937867218.jpg,http://www.amazon.com/Certain-Scientific-Railgun-Vol/dp/1937867218?tag=thenewyorktim-20,,,,,,19378672189781937867218
7,0,3,0,0,1421554771,9781421554778,VIZ Media,Rin Okumura joins an exorcist academy in order to control his inner demon. Will his classmates find out about his satanic bloodline?,9.99,"BLUE EXORCIST, VOL. 9",Kazue Kato,by Kazue Kato,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421554778.jpg,http://www.amazon.com/Blue-Exorcist-Vol-Kazue-Kato/dp/1421554771?tag=thenewyorktim-20,,,,,,14215547719781421554778
8,0,2,0,0,0316245321,9780316245326,Yen Press,"Journey to Ikebukuro, a Japanese city with lots of unusual activity, including the Black Biker, who is rumored to be headless.",11.99,"DURARARA: SAIKA ARC, VOL. 1",Ryohgo Narita,by Ryohgo Narita,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316245326.jpg,http://www.amazon.com/Durarara-Saika-Arc-Vol-1/dp/0316245321?tag=thenewyorktim-20,,,,,,03162453219780316245326
9,0,7,0,0,1612620051,9781612620053,Kodansha Comics,"Sailor Moon fights for justice in the name of the Moon and the mysterious Moon Princess. Along the way, she recruits other girls to be Sailor Scouts and join her fight against evil.",10.99,"SAILOR MOON, VOL. 9",Naoko Takeuchi,by Naoko Takeuchi,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781612620053.jpg,http://www.amazon.com/Sailor-Moon-9-Naoko-Takeuchi/dp/1612620051?tag=thenewyorktim-20,,,,,,16126200519781612620053
10,0,4,0,0,0316228982,9780316228985,Yen Press,"Staz is a vampire obsessed with Japanese culture. When a young Japanese girl he befriends suddenly dies, Staz vows to restore her, especially since it will give him a chance to walk among humans.",18.99,"BLOOD LAD, VOL. 2",Yuuki Kodama,by Yuuki Kodama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780316228985.jpg,http://www.amazon.com/Blood-Lad-Vol-Yuuki-Kodama/dp/0316228982?tag=thenewyorktim-20,,,,,,03162289829780316228985
