List Name,Bestsellers Date,Published Date,Rank,Rank Last Week,Weeks on List,Asterisk,Dagger,Primary ISBN10,Primary ISBN13,Publisher,Description,Price,Title,Author,Contributor,Contributor Note,Book Image,Amazon Product URL,Age Group,Book Review Link,First Chapter Link,Sunday Review Link,Article Chapter Link
Manga,2009-06-27,2009-07-12,1,1,4,0,0,0345485904,9780345485908,VIZ Media,Ichigo Kurosaki sees dead people and must help usher them safely into the afterlife.,7.95,"BLEACH, VOL. 27",Tite Kubo,by Tite Kubo,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345485908.jpg,http://www.amazon.com/Manga-Complete-Guide-Jason-Thompson/dp/0345485904?tag=thenewyorktim-20,,,,,,
Manga,2009-06-27,2009-07-12,2,2,15,0,0,1421529297,9781421529295,VIZ Media,"Naruto’s former teammate, Sasuke, learns vital details about his family’s past.",7.95,"NARUTO, VOL. 43",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421529295.jpg,http://www.amazon.com/Naruto-Vol-43-The-Truth/dp/1421529297?tag=thenewyorktim-20,,,,,,
Manga,2009-06-27,2009-07-12,3,3,13,0,0,1421531348,9781421531342,VIZ Media,The secret history of Sasuke’s family continues to be revealed.,7.95,"NARUTO, VOL. 44",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421531342.jpg,http://www.amazon.com/Naruto-Vol-44-Senjutsu-Heir/dp/1421531348?tag=thenewyorktim-20,,,,,,
Manga,2009-06-27,2009-07-12,4,0,1,0,0,0345510178,9780345510174,Del Rey,"Is the all-girl school where Negi Springfield, the boy wizard teaches English, haunted? What else to think of the strange noises and ghostly figure?",10.99,"NEGIMA!? NEO MAGISTER NEGI MAGI, VOL. 2",Ken Akamatsu and Takuya Fujiyama,by Ken Akamatsu and Takuya Fujiyama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780345510174.jpg,http://www.amazon.com/Negima-Neo-Magister-Negi-Magi/dp/0345510178?tag=thenewyorktim-20,,,,,,
Manga,2009-06-27,2009-07-12,5,6,4,0,0,,,VIZ Media,"Haruhi, a poor girl at a rich school, is forced to work – as a boy – for the school’s all-male club. The series is described as a “romantic comedy.”",8.99,"OURAN HIGH SCHOOLHOST CLUB, VOL. 12",Bisco Hatori,by Bisco Hatori,,,,,,,,,
Manga,2009-06-27,2009-07-12,6,4,4,0,0,1421519097,9781421519098,VIZ Media,Tsukune Aono’s new school is filled with vampires and werewolves. How is a human teenager to survive?,7.95,ROSARIO   VAMPIRE 7,Akihisa Ikeda,by Akihisa Ikeda,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421519098.jpg,http://www.amazon.com/Rosario-Vampire-Vol-Akihisa-Ikeda/dp/1421519097?tag=thenewyorktim-20,,,,,,
Manga,2009-06-27,2009-07-12,7,9,2,0,0,0759529469,9780759529465,Yen Press,"Haruhi, a high school student, and her S.O.S. Brigade, dedicated to meeting supernatural beings, play baseball.",10.99,"THE MELANCHOLY OF HARUHI SUZUMIYA, VOL. 3",Nagaru Tanigawa and Gaku Tsugano,by Nagaru Tanigawa and Gaku Tsugano,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9780759529465.jpg,http://www.amazon.com/The-Melancholy-Haruhi-Suzumiya-Vol/dp/0759529469?tag=thenewyorktim-20,,,,,,
Manga,2009-06-27,2009-07-12,8,5,14,0,0,1421528436,9781421528434,VIZ Media,Naruto’s teacher Jiraiya must delve deep into the past to uncover the secret of Pain’s origin.,7.95,"NARUTO, VOL. 42",Masashi Kishimoto,by Masashi Kishimoto,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421528434.jpg,http://www.amazon.com/Naruto-Vol-42-Secret-Mangekyo/dp/1421528436?tag=thenewyorktim-20,,,,,,
Manga,2009-06-27,2009-07-12,9,10,6,0,0,1439576149,9781439576144,VIZ Media,Two brothers harmed in a ritual that was half magic/half science seek the legendary Philosopher’s Stone to make things right.,9.99,FULLMETAL ALCHEMIST 18,Hiromu Arakawa,by Hiromu Arakawa,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781439576144.jpeg,http://www.amazon.com/Fullmetal-Alchemist-18-Hiromu-Arakawa/dp/1439576149?tag=thenewyorktim-20,,,,,,
Manga,2009-06-27,2009-07-12,10,0,3,0,0,1421513781,9781421513782,Viz Media,"Tenth grader Yugi, a fan of puzzles, becomes possessed by the King of Games. Now the mystic Shadi comes to challenge him — and lives hang in the balance.",7.99,"YU-GI-OH!, VOL. 3",Kazuki Takahashi and Naoyuki Kageyama,by Kazuki Takahashi and Naoyuki Kageyama,,http://du.ec2.nytimes.com.s3.amazonaws.com/prd/books/9781421513782.jpg,http://www.amazon.com/Yu-Gi-Oh-GX-Vol-Naoyuki-Kageyama/dp/1421513781?tag=thenewyorktim-20,,,,,,
